"HAULJOIN","VESSEL","CRUISE","HAUL","STATIONID","GEAR","HAUL_TYPE","SPECIES_CODE","SEX","LENGTH","WIDTH","SHELL_CONDITION","EGG_COLOR","EGG_CONDITION","CLUTCH_SIZE","WEIGHT","DISEASE_CODE","DISEASE_DORSAL","DISEASE_VENTRAL","DISEASE_LEGS","SAMPLING_FACTOR","CHELA_HEIGHT","MERUS_LENGTH","COMMENTS"
-23934,162,202401,229,"61-15",172,20,68580,1,NA,58,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
-23934,162,202401,229,"61-15",172,20,68580,2,NA,75.4,3,0,0,1,NA,NA,NA,NA,NA,1,NA,NA,NA
-23934,162,202401,229,"61-15",172,20,68580,2,NA,53.6,1,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA
-23934,162,202401,229,"61-15",172,20,68580,2,NA,51.8,1,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA
-23934,162,202401,229,"61-15",172,20,68590,1,NA,47.5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
-23934,162,202401,229,"61-15",172,20,68590,1,NA,64.7,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
-23934,162,202401,229,"61-15",172,20,68590,1,NA,48.1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
-23934,162,202401,229,"61-15",172,20,68590,1,NA,49.8,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
-23934,162,202401,229,"61-15",172,20,68590,2,NA,59.2,2,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA
-23934,162,202401,229,"61-15",172,20,68590,2,NA,58,2,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA
-23934,162,202401,229,"61-15",172,20,68590,2,NA,54.9,2,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA
-23947,162,202401,234,"M-28",44,20,68560,1,NA,75.4,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
-23947,162,202401,234,"M-28",44,20,68560,1,NA,45.8,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
-23947,162,202401,234,"M-28",44,20,68560,1,NA,64.3,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
-23947,162,202401,234,"M-28",44,20,68560,1,NA,46.5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
-23947,162,202401,234,"M-28",44,20,68560,1,NA,63.8,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
-23947,162,202401,234,"M-28",44,20,68560,1,NA,46.7,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
-23947,162,202401,234,"M-28",44,20,68560,1,NA,48.6,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
-23947,162,202401,234,"M-28",44,20,68560,1,NA,58.9,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
-23947,162,202401,234,"M-28",44,20,68560,2,NA,47.1,2,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA
-23947,162,202401,234,"M-28",44,20,68560,2,NA,54.4,2,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA
-23947,162,202401,234,"M-28",44,20,68560,2,NA,50.2,2,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA
-23947,162,202401,234,"M-28",44,20,68560,2,NA,45.9,2,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA
-23947,162,202401,234,"M-28",44,20,68560,2,NA,49.1,2,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA
-23947,162,202401,234,"M-28",44,20,68560,2,NA,60.4,2,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA
-23947,162,202401,234,"M-28",44,20,68560,2,NA,47.5,2,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA
-23947,162,202401,234,"M-28",44,20,68560,2,NA,31.8,2,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA
-23947,162,202401,234,"M-28",44,20,68560,2,NA,23.6,2,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA
-23947,162,202401,234,"M-28",44,20,68560,2,NA,24.8,2,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA
-23947,162,202401,234,"M-28",44,20,68560,2,NA,52.9,2,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA
-23947,162,202401,234,"M-28",44,20,68560,2,NA,45.8,2,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA
-23947,162,202401,234,"M-28",44,20,68560,2,NA,68.6,2,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA
-23947,162,202401,234,"M-28",44,20,68560,2,NA,45.8,2,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA
-23947,162,202401,234,"M-28",44,20,68560,2,NA,59.6,2,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA
-23947,162,202401,234,"M-28",44,20,68560,2,NA,46.3,2,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA
-23947,162,202401,234,"M-28",44,20,68560,2,NA,54.2,2,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA
-23947,162,202401,234,"M-28",44,20,68560,2,NA,103.8,3,4,1,6,NA,NA,NA,NA,NA,1,NA,NA,NA
-23947,162,202401,234,"M-28",44,20,68560,2,NA,92.6,3,4,1,6,NA,NA,NA,NA,NA,1,NA,NA,NA
-23947,162,202401,234,"M-28",44,20,68560,2,NA,73.9,3,4,1,5,NA,NA,NA,NA,NA,1,NA,NA,NA
-23947,162,202401,234,"M-28",44,20,68560,2,NA,87.1,3,4,1,5,NA,NA,NA,NA,NA,1,NA,NA,NA
-23947,162,202401,234,"M-28",44,20,68560,2,NA,92.1,3,4,1,5,NA,NA,NA,NA,NA,1,NA,NA,NA
-23947,162,202401,234,"M-28",44,20,68560,2,NA,94.6,3,4,1,5,NA,NA,NA,NA,NA,1,NA,NA,NA
-23947,162,202401,234,"M-28",44,20,68560,2,NA,93.9,3,4,1,5,NA,NA,NA,NA,NA,1,NA,NA,NA
-23947,162,202401,234,"M-28",44,20,68560,2,NA,73.1,3,4,1,5,NA,NA,NA,NA,NA,1,NA,NA,NA
-23947,162,202401,234,"M-28",44,20,68560,2,NA,83.6,3,4,1,5,NA,NA,NA,NA,NA,1,NA,NA,NA
-23947,162,202401,234,"M-28",44,20,68560,2,NA,87.9,3,4,1,5,NA,NA,NA,NA,NA,1,NA,NA,NA
-23947,162,202401,234,"M-28",44,20,68560,2,NA,90.3,3,4,1,5,NA,NA,NA,NA,NA,1,NA,NA,NA
-23947,162,202401,234,"M-28",44,20,68560,2,NA,98.5,3,4,1,5,NA,NA,NA,NA,NA,1,NA,NA,NA
-23947,162,202401,234,"M-28",44,20,68560,2,NA,102,3,4,1,5,NA,NA,NA,NA,NA,1,NA,NA,NA
-23947,162,202401,234,"M-28",44,20,68560,2,NA,92.3,3,4,1,5,NA,NA,NA,NA,NA,1,NA,NA,NA
-23948,162,202401,235,"M-27",44,20,68560,1,NA,29.6,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
-23948,162,202401,235,"M-27",44,20,68560,1,NA,36.2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
-23948,162,202401,235,"M-27",44,20,68560,1,NA,44.7,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
-23948,162,202401,235,"M-27",44,20,68560,1,NA,35.3,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
-23948,162,202401,235,"M-27",44,20,68560,1,NA,44.5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
-23948,162,202401,235,"M-27",44,20,68560,1,NA,113.9,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,35.7,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,41.1,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,35.2,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,36.5,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,37.7,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,41.2,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,40.4,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,39.7,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,38.5,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,45.6,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,41.2,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,58,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,42.8,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,60.3,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,34.4,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,45.8,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,46.1,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,47.2,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,39.4,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,46.2,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,58.2,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,41.8,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,70.5,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,36.9,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,46.6,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,40.8,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,33.7,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,43.1,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,45.2,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,49.9,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,35.8,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,33.5,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,45.4,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,36.4,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,40,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,34.6,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,39.1,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,47,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,38.6,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,43.3,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,33.6,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,39.3,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,40.4,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,44.3,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,35.7,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,33.9,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,32.7,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,31.5,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,44.9,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,38.5,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,33.4,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,37.9,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,38.9,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,32.3,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,36.5,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,36.2,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,57.3,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,54.5,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,45.2,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,33.1,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,37.2,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,47.4,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,49.6,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23949,162,202401,236,"L-27",44,20,68560,1,NA,45.2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
-23949,162,202401,236,"L-27",44,20,68560,1,NA,36,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
-23949,162,202401,236,"L-27",44,20,68560,1,NA,50.9,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
-23949,162,202401,236,"L-27",44,20,68560,1,NA,42.4,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
-23949,162,202401,236,"L-27",44,20,68560,1,NA,49.6,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
-23949,162,202401,236,"L-27",44,20,68560,1,NA,39.1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
-23949,162,202401,236,"L-27",44,20,68560,1,NA,49.6,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
-23949,162,202401,236,"L-27",44,20,68560,1,NA,43.5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
-23949,162,202401,236,"L-27",44,20,68560,1,NA,62.1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
-23949,162,202401,236,"L-27",44,20,68560,1,NA,67.1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
-23949,162,202401,236,"L-27",44,20,68560,1,NA,46.1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
-23949,162,202401,236,"L-27",44,20,68560,2,NA,76.1,2,4,1,4,NA,NA,NA,NA,NA,1,NA,NA,NA
-23949,162,202401,236,"L-27",44,20,68560,2,NA,70.6,2,4,1,5,NA,NA,NA,NA,NA,1,NA,NA,NA
-23949,162,202401,236,"L-27",44,20,68560,2,NA,77.6,2,4,1,5,NA,NA,NA,NA,NA,1,NA,NA,NA
-23949,162,202401,236,"L-27",44,20,68560,2,NA,75.2,2,4,1,6,NA,NA,NA,NA,NA,1,NA,NA,NA
-23949,162,202401,236,"L-27",44,20,68560,2,NA,48.1,2,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA
-23949,162,202401,236,"L-27",44,20,68560,2,NA,41.9,2,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA
-23949,162,202401,236,"L-27",44,20,68560,2,NA,43.5,2,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA
-23949,162,202401,236,"L-27",44,20,68560,2,NA,35.6,2,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA
-23949,162,202401,236,"L-27",44,20,68560,2,NA,38.1,2,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA
-23949,162,202401,236,"L-27",44,20,68560,2,NA,43.6,2,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA
-23949,162,202401,236,"L-27",44,20,68560,2,NA,67.1,2,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA
-23949,162,202401,236,"L-27",44,20,68560,2,NA,46.4,2,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA
-23949,162,202401,236,"L-27",44,20,68560,2,NA,44.1,2,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA
-23949,162,202401,236,"L-27",44,20,68560,2,NA,39.4,2,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA
-23949,162,202401,236,"L-27",44,20,68580,1,NA,112.4,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
-23949,162,202401,236,"L-27",44,20,68580,1,NA,104.7,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
-23954,162,202401,237,"K-22",44,20,68580,1,NA,46.6,2,NA,NA,NA,NA,NA,NA,NA,NA,25.0142,NA,NA,NA
-23954,162,202401,237,"K-22",44,20,68580,1,NA,75,2,NA,NA,NA,NA,NA,NA,NA,NA,25.0142,NA,NA,NA
-23954,162,202401,237,"K-22",44,20,68580,1,NA,73.6,2,NA,NA,NA,NA,NA,NA,NA,NA,25.0142,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,47,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,52.3,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,46.9,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,34.8,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,42.8,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,34.8,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,46.8,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,2,NA,49.9,2,0,0,0,NA,NA,NA,NA,NA,15.19585,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68590,1,NA,75.6,2,NA,NA,NA,NA,NA,NA,NA,NA,6.12601,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68590,2,NA,60.9,2,0,0,0,NA,NA,NA,NA,NA,6.12601,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68590,2,NA,56.4,2,0,0,0,NA,NA,NA,NA,NA,6.12601,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68590,2,NA,64.3,2,0,0,0,NA,NA,NA,NA,NA,6.12601,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,1,NA,110.6,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,1,NA,103.2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
-23955,162,202401,238,"K-21",44,20,68580,1,NA,98.5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
-23972,162,202401,247,"I-21",44,20,68560,1,NA,64.2,2,NA,NA,NA,NA,NA,NA,NA,NA,4.3686,NA,NA,NA
-23972,162,202401,247,"I-21",44,20,68560,1,NA,63.3,2,NA,NA,NA,NA,NA,NA,NA,NA,4.3686,NA,NA,NA
-23972,162,202401,247,"I-21",44,20,68560,1,NA,78.8,2,NA,NA,NA,NA,NA,NA,NA,NA,4.3686,NA,NA,NA
-23972,162,202401,247,"I-21",44,20,68560,2,NA,80.1,2,4,1,4,NA,NA,NA,NA,NA,4.3686,NA,NA,NA
-23972,162,202401,247,"I-21",44,20,68560,2,NA,32.9,2,0,0,0,NA,NA,NA,NA,NA,4.3686,NA,NA,NA
-23972,162,202401,247,"I-21",44,20,68580,1,NA,55.3,2,NA,NA,NA,NA,NA,NA,NA,NA,4.3686,NA,NA,NA
-23972,162,202401,247,"I-21",44,20,68580,1,NA,56.2,2,NA,NA,NA,NA,NA,NA,NA,NA,4.3686,NA,NA,NA
-23972,162,202401,247,"I-21",44,20,68580,1,NA,64.8,2,NA,NA,NA,NA,NA,NA,NA,NA,4.3686,NA,NA,NA
-23972,162,202401,247,"I-21",44,20,68580,1,NA,60.9,2,NA,NA,NA,NA,NA,NA,NA,NA,4.3686,NA,NA,NA
-23972,162,202401,247,"I-21",44,20,68580,1,NA,58.6,2,NA,NA,NA,NA,NA,NA,NA,NA,4.3686,NA,NA,NA
-23972,162,202401,247,"I-21",44,20,68580,1,NA,59,2,NA,NA,NA,NA,NA,NA,NA,NA,4.3686,NA,NA,NA
-23972,162,202401,247,"I-21",44,20,68580,1,NA,58.8,2,NA,NA,NA,NA,NA,NA,NA,NA,4.3686,NA,NA,NA
-23972,162,202401,247,"I-21",44,20,68580,1,NA,63.5,2,NA,NA,NA,NA,NA,NA,NA,NA,4.3686,NA,NA,NA
-23972,162,202401,247,"I-21",44,20,68580,1,NA,42.9,2,NA,NA,NA,NA,NA,NA,NA,NA,4.3686,NA,NA,NA
-23927,162,202401,225,"61-07",172,20,68590,2,NA,68.8,2,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA
-23927,162,202401,225,"61-07",172,20,68560,1,NA,37.6,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
-23927,162,202401,225,"61-07",172,20,68560,1,NA,35.5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
-23927,162,202401,225,"61-07",172,20,68560,1,NA,72,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
-23927,162,202401,225,"61-07",172,20,68560,1,NA,62.4,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
-23927,162,202401,225,"61-07",172,20,68560,1,NA,32.6,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
-23927,162,202401,225,"61-07",172,20,68560,1,NA,59.4,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
