"HAULJOIN","SPECIES_CODE","SPECIES","SEX","SIZE","SIZE_1MM","SHELL_CONDITION","EGG_CONDITION","CLUTCH_SIZE","MERUS_LENGTH","CHELA_HEIGHT","DISEASE_CODE","CALCULATED_WEIGHT","CALCULATED_WEIGHT_1MM","WEIGHT","SAMPLING_FACTOR"
821836,68580,"SNOW",1,87,87,2,NA,NA,NA,NA,NA,271.452024566283,271.452024566283,NA,1
821836,68580,"SNOW",1,108,108,2,NA,NA,NA,NA,NA,530.321321615836,530.321321615836,NA,1
821836,68580,"SNOW",1,97,97,2,NA,NA,NA,NA,NA,380.229646370315,380.229646370315,NA,1
821836,68580,"SNOW",1,84,84,2,NA,NA,NA,NA,NA,243.495563611932,243.495563611932,NA,1
821836,68580,"SNOW",1,90,90,2,NA,NA,NA,NA,NA,301.505151210144,301.505151210144,NA,1
821836,68580,"SNOW",1,83,83,2,NA,NA,NA,NA,NA,234.628973302234,234.628973302234,NA,1
821836,68560,"TANNER",1,116,116,4,NA,NA,NA,NA,NA,468.201116464652,468.201116464652,NA,1
821836,68560,"TANNER",1,106,106,4,NA,NA,NA,NA,NA,356.54100143515,356.54100143515,NA,1
821836,68560,"TANNER",1,92,92,4,NA,NA,NA,NA,NA,232.377313189384,232.377313189384,NA,1
821836,68560,"TANNER",1,125,125,4,NA,NA,NA,NA,NA,586.822570483512,586.822570483512,NA,1
821836,68560,"TANNER",1,109,109,4,NA,NA,NA,NA,NA,387.91775354227,387.91775354227,NA,1
821836,68560,"TANNER",1,102,102,5,NA,NA,NA,NA,NA,317.411484071066,317.411484071066,NA,1
821836,68580,"SNOW",1,78,78,3,NA,NA,NA,NA,NA,193.556136987749,193.556136987749,NA,1
821836,68580,"SNOW",1,74,74,3,NA,NA,NA,NA,NA,164.435208375069,164.435208375069,NA,1
821836,68580,"SNOW",1,85,85,2,NA,NA,NA,NA,NA,252.586315169063,252.586315169063,NA,1
821836,68580,"SNOW",1,79,79,2,NA,NA,NA,NA,NA,201.345748043429,201.345748043429,NA,1
821836,68580,"SNOW",1,73,73,2,NA,NA,NA,NA,NA,157.649856525966,157.649856525966,NA,1
821836,68580,"SNOW",1,89,89,2,NA,NA,NA,NA,NA,291.249579906558,291.249579906558,NA,1
821836,68580,"SNOW",1,80,80,2,NA,NA,NA,NA,NA,209.344922966998,209.344922966998,NA,1
821836,68580,"SNOW",1,71,71,2,NA,NA,NA,NA,NA,144.652763741078,144.652763741078,NA,1
821836,68580,"SNOW",1,109,109,2,NA,NA,NA,NA,NA,545.678188000196,545.678188000196,NA,1
821836,68580,"SNOW",1,92,92,2,NA,NA,NA,NA,NA,322.744612166237,322.744612166237,NA,1
821836,68580,"SNOW",1,83,83,2,NA,NA,NA,NA,NA,234.628973302234,234.628973302234,NA,1
821836,68580,"SNOW",1,83,83,2,NA,NA,NA,NA,NA,234.628973302234,234.628973302234,NA,1
821836,68580,"SNOW",1,78,78,2,NA,NA,NA,NA,NA,193.556136987749,193.556136987749,NA,1
821836,68580,"SNOW",1,78,78,2,NA,NA,NA,NA,NA,193.556136987749,193.556136987749,NA,1
821836,68580,"SNOW",1,94,94,2,NA,NA,NA,NA,NA,344.974842715057,344.974842715057,NA,1
821836,68580,"SNOW",1,88,88,2,NA,NA,NA,NA,NA,281.232852026961,281.232852026961,NA,1
821836,68580,"SNOW",1,87,87,2,NA,NA,NA,NA,NA,271.452024566283,271.452024566283,NA,1
821836,68580,"SNOW",1,75,75,2,NA,NA,NA,NA,NA,171.415616346091,171.415616346091,NA,1
821836,68580,"SNOW",1,89,89,2,NA,NA,NA,NA,NA,291.249579906558,291.249579906558,NA,1
821836,68580,"SNOW",1,83,83,2,NA,NA,NA,NA,NA,234.628973302234,234.628973302234,NA,1
821836,68580,"SNOW",1,93,93,2,NA,NA,NA,NA,NA,333.734403789344,333.734403789344,NA,1
821836,68580,"SNOW",1,95,95,2,NA,NA,NA,NA,NA,356.468887721105,356.468887721105,NA,1
821836,68580,"SNOW",1,81,81,2,NA,NA,NA,NA,NA,217.556574226675,217.556574226675,NA,1
821836,68580,"SNOW",1,85,85,2,NA,NA,NA,NA,NA,252.586315169063,252.586315169063,NA,1
821836,68580,"SNOW",1,91,91,2,NA,NA,NA,NA,NA,312.002512160583,312.002512160583,NA,1
821836,68580,"SNOW",1,97,97,2,NA,NA,NA,NA,NA,380.229646370315,380.229646370315,NA,1
821836,68580,"SNOW",1,86,86,2,NA,NA,NA,NA,NA,261.904157770242,261.904157770242,NA,1
821836,68580,"SNOW",1,89,89,2,NA,NA,NA,NA,NA,291.249579906558,291.249579906558,NA,1
821836,68580,"SNOW",1,90,90,2,NA,NA,NA,NA,NA,301.505151210144,301.505151210144,NA,1
821836,68580,"SNOW",1,86,86,2,NA,NA,NA,NA,NA,261.904157770242,261.904157770242,NA,1
821836,68580,"SNOW",1,90,90,2,NA,NA,NA,NA,NA,301.505151210144,301.505151210144,NA,1
821836,68580,"SNOW",1,83,83,2,NA,NA,NA,NA,NA,234.628973302234,234.628973302234,NA,1
821836,68580,"SNOW",1,89,89,2,NA,NA,NA,NA,NA,291.249579906558,291.249579906558,NA,1
821836,68580,"SNOW",1,87,87,2,NA,NA,NA,NA,NA,271.452024566283,271.452024566283,NA,1
821836,68580,"SNOW",1,91,91,2,NA,NA,NA,NA,NA,312.002512160583,312.002512160583,NA,1
821836,68580,"SNOW",1,77,77,2,NA,NA,NA,NA,NA,185.973180915107,185.973180915107,NA,1
821836,68580,"SNOW",1,78,78,2,NA,NA,NA,NA,NA,193.556136987749,193.556136987749,NA,1
821836,68580,"SNOW",1,84,84,2,NA,NA,NA,NA,NA,243.495563611932,243.495563611932,NA,1
821836,68580,"SNOW",1,83,83,2,NA,NA,NA,NA,NA,234.628973302234,234.628973302234,NA,1
821836,68580,"SNOW",1,97,97,2,NA,NA,NA,NA,NA,380.229646370315,380.229646370315,NA,1
821836,68580,"SNOW",1,96,96,2,NA,NA,NA,NA,NA,368.219500648081,368.219500648081,NA,1
821836,68580,"SNOW",1,93,93,2,NA,NA,NA,NA,NA,333.734403789344,333.734403789344,NA,1
821836,68580,"SNOW",1,97,97,2,NA,NA,NA,NA,NA,380.229646370315,380.229646370315,NA,1
821836,68580,"SNOW",1,83,83,2,NA,NA,NA,NA,NA,234.628973302234,234.628973302234,NA,1
821836,68580,"SNOW",1,85,85,2,NA,NA,NA,NA,NA,252.586315169063,252.586315169063,NA,1
821836,68580,"SNOW",1,83,83,2,NA,NA,NA,NA,NA,234.628973302234,234.628973302234,NA,1
821836,68580,"SNOW",1,95,95,2,NA,NA,NA,NA,NA,356.468887721105,356.468887721105,NA,1
821836,68580,"SNOW",1,57,57,2,NA,NA,NA,NA,NA,73.2655688170407,73.2655688170407,NA,1
821836,68580,"SNOW",1,83,83,2,NA,NA,NA,NA,NA,234.628973302234,234.628973302234,NA,1
821836,68580,"SNOW",1,98,98,2,NA,NA,NA,NA,NA,392.502292767334,392.502292767334,NA,1
821836,68580,"SNOW",1,85,85,2,NA,NA,NA,NA,NA,252.586315169063,252.586315169063,NA,1
821836,68580,"SNOW",1,78,78,3,NA,NA,NA,NA,NA,193.556136987749,193.556136987749,NA,1
821836,68580,"SNOW",1,86,86,3,NA,NA,NA,NA,NA,261.904157770242,261.904157770242,NA,1
821836,68580,"SNOW",1,106,106,3,NA,NA,NA,NA,NA,500.49060381961,500.49060381961,NA,1
821836,68580,"SNOW",1,78,78,3,NA,NA,NA,NA,NA,193.556136987749,193.556136987749,NA,1
821836,68580,"SNOW",1,61,61,3,NA,NA,NA,NA,NA,90.3918861930554,90.3918861930554,NA,1
821836,68580,"SNOW",1,63,63,3,NA,NA,NA,NA,NA,99.8904975145986,99.8904975145986,NA,1
821836,68580,"SNOW",1,71,71,3,NA,NA,NA,NA,NA,144.652763741078,144.652763741078,NA,1
821836,68580,"SNOW",1,53,53,3,NA,NA,NA,NA,NA,58.4830308115239,58.4830308115239,NA,1
821836,68580,"SNOW",1,65,65,3,NA,NA,NA,NA,NA,110.043043663286,110.043043663286,NA,1
821836,68580,"SNOW",1,70,70,4,NA,NA,NA,NA,NA,138.435253747909,138.435253747909,NA,1
821836,68580,"SNOW",1,76,76,4,NA,NA,NA,NA,NA,178.593974565467,178.593974565467,NA,1
821836,68580,"SNOW",1,80,80,4,NA,NA,NA,NA,NA,209.344922966998,209.344922966998,NA,1
821836,68580,"SNOW",1,62,62,4,NA,NA,NA,NA,NA,95.0608731048404,95.0608731048404,NA,1
821836,68580,"SNOW",1,78,78,4,NA,NA,NA,NA,NA,193.556136987749,193.556136987749,NA,1
821836,68580,"SNOW",1,62,62,4,NA,NA,NA,NA,NA,95.0608731048404,95.0608731048404,NA,1
821836,68580,"SNOW",1,78,78,4,NA,NA,NA,NA,NA,193.556136987749,193.556136987749,NA,1
821836,68580,"SNOW",1,80,80,4,NA,NA,NA,NA,NA,209.344922966998,209.344922966998,NA,1
821836,68580,"SNOW",1,70,70,4,NA,NA,NA,NA,NA,138.435253747909,138.435253747909,NA,1
821836,68580,"SNOW",1,55,55,4,NA,NA,NA,NA,NA,65.5925964375187,65.5925964375187,NA,1
821836,68580,"SNOW",1,86,86,1,NA,NA,NA,NA,NA,261.904157770242,261.904157770242,NA,1
821836,68580,"SNOW",2,76,76,2,1,6,NA,NA,NA,144.026780388205,144.026780388205,NA,1
821836,68580,"SNOW",2,69,69,2,1,6,NA,NA,NA,110.858782440677,110.858782440677,NA,1
821836,68580,"SNOW",2,58,58,3,1,6,NA,NA,NA,69.2580029209495,69.2580029209495,NA,1
821836,68580,"SNOW",2,58,58,3,1,6,NA,NA,NA,69.2580029209495,69.2580029209495,NA,1
821836,68560,"TANNER",1,124,124,4,NA,NA,NA,NA,NA,572.749363496811,572.749363496811,NA,1
821836,68580,"SNOW",1,81,81,2,NA,NA,NA,NA,NA,217.556574226675,217.556574226675,NA,1
821836,68580,"SNOW",1,79,79,2,NA,NA,NA,NA,NA,201.345748043429,201.345748043429,NA,1
821836,68580,"SNOW",1,81,81,2,NA,NA,NA,NA,NA,217.556574226675,217.556574226675,NA,1
821836,68580,"SNOW",1,53,53,3,NA,NA,NA,NA,NA,58.4830308115239,58.4830308115239,NA,1
821836,68580,"SNOW",1,58,58,3,NA,NA,NA,NA,NA,77.3203666399206,77.3203666399206,NA,1
821836,68580,"SNOW",1,58,58,3,NA,NA,NA,NA,NA,77.3203666399206,77.3203666399206,NA,1
821836,68580,"SNOW",1,67,67,3,NA,NA,NA,NA,NA,120.872337896331,120.872337896331,NA,1
821836,68580,"SNOW",1,63,63,3,NA,NA,NA,NA,NA,99.8904975145986,99.8904975145986,NA,1
821836,68580,"SNOW",1,63,63,3,NA,NA,NA,NA,NA,99.8904975145986,99.8904975145986,NA,1
821836,68580,"SNOW",1,86,86,3,NA,NA,NA,NA,NA,261.904157770242,261.904157770242,NA,1
821836,68580,"SNOW",1,83,83,3,NA,NA,NA,NA,NA,234.628973302234,234.628973302234,NA,1
821836,68580,"SNOW",1,59,59,3,NA,NA,NA,NA,NA,81.5244667882894,81.5244667882894,NA,1
821836,68580,"SNOW",1,60,60,3,NA,NA,NA,NA,NA,85.8806961290526,85.8806961290526,NA,1
821836,68580,"SNOW",1,85,85,2,NA,NA,NA,NA,NA,252.586315169063,252.586315169063,NA,1
821836,68580,"SNOW",1,87,87,2,NA,NA,NA,NA,NA,271.452024566283,271.452024566283,NA,1
821836,68580,"SNOW",1,80,80,2,NA,NA,NA,NA,NA,209.344922966998,209.344922966998,NA,1
821836,68580,"SNOW",1,90,90,2,NA,NA,NA,NA,NA,301.505151210144,301.505151210144,NA,1
821836,68580,"SNOW",1,81,81,2,NA,NA,NA,NA,NA,217.556574226675,217.556574226675,NA,1
821836,68580,"SNOW",1,89,89,1,NA,NA,NA,NA,NA,291.249579906558,291.249579906558,NA,1
821836,68580,"SNOW",1,69,69,4,NA,NA,NA,NA,NA,132.40126185963,132.40126185963,NA,1
821836,68580,"SNOW",1,70,70,4,NA,NA,NA,NA,NA,138.435253747909,138.435253747909,NA,1
821836,68580,"SNOW",1,64,64,4,NA,NA,NA,NA,NA,104.883604532211,104.883604532211,NA,1
821836,68580,"SNOW",1,65,65,4,NA,NA,NA,NA,NA,110.043043663286,110.043043663286,NA,1
821836,68580,"SNOW",1,70,70,4,NA,NA,NA,NA,NA,138.435253747909,138.435253747909,NA,1
821836,68580,"SNOW",1,62,62,4,NA,NA,NA,NA,NA,95.0608731048404,95.0608731048404,NA,1
821837,68580,"SNOW",1,77,77,2,NA,NA,NA,NA,NA,185.973180915107,185.973180915107,NA,2.4623
821837,68580,"SNOW",1,114,114,2,NA,NA,NA,NA,NA,626.997750759567,626.997750759567,NA,2.4623
821837,68580,"SNOW",1,84,84,2,NA,NA,NA,NA,NA,243.495563611932,243.495563611932,NA,2.4623
821837,68580,"SNOW",1,83,83,2,NA,NA,NA,NA,NA,234.628973302234,234.628973302234,NA,2.4623
821837,68580,"SNOW",1,86,86,2,NA,NA,NA,NA,NA,261.904157770242,261.904157770242,NA,2.4623
821837,68580,"SNOW",1,82,82,2,NA,NA,NA,NA,NA,225.983617833584,225.983617833584,NA,2.4623
821837,68580,"SNOW",1,86,86,2,NA,NA,NA,NA,NA,261.904157770242,261.904157770242,NA,2.4623
821837,68580,"SNOW",1,90,90,2,NA,NA,NA,NA,NA,301.505151210144,301.505151210144,NA,2.4623
821837,68580,"SNOW",1,83,83,2,NA,NA,NA,NA,NA,234.628973302234,234.628973302234,NA,2.4623
821837,68580,"SNOW",1,81,81,2,NA,NA,NA,NA,NA,217.556574226675,217.556574226675,NA,2.4623
821837,68580,"SNOW",1,85,85,2,NA,NA,NA,NA,NA,252.586315169063,252.586315169063,NA,2.4623
821837,68580,"SNOW",1,92,92,2,NA,NA,NA,NA,NA,322.744612166237,322.744612166237,NA,2.4623
821837,68580,"SNOW",1,94,94,2,NA,NA,NA,NA,NA,344.974842715057,344.974842715057,NA,2.4623
821837,68580,"SNOW",1,80,80,2,NA,NA,NA,NA,NA,209.344922966998,209.344922966998,NA,2.4623
821837,68580,"SNOW",1,94,94,2,NA,NA,NA,NA,NA,344.974842715057,344.974842715057,NA,2.4623
821837,68580,"SNOW",1,92,92,2,NA,NA,NA,NA,NA,322.744612166237,322.744612166237,NA,2.4623
821837,68580,"SNOW",1,80,80,2,NA,NA,NA,NA,NA,209.344922966998,209.344922966998,NA,2.4623
821837,68580,"SNOW",1,101,101,2,NA,NA,NA,NA,NA,430.924959296404,430.924959296404,NA,2.4623
821837,68580,"SNOW",1,81,81,2,NA,NA,NA,NA,NA,217.556574226675,217.556574226675,NA,2.4623
821837,68580,"SNOW",1,88,88,2,NA,NA,NA,NA,NA,281.232852026961,281.232852026961,NA,2.4623
821837,68580,"SNOW",1,99,99,2,NA,NA,NA,NA,NA,405.040410695875,405.040410695875,NA,2.4623
821837,68580,"SNOW",1,101,101,2,NA,NA,NA,NA,NA,430.924959296404,430.924959296404,NA,2.4623
821837,68580,"SNOW",1,71,71,4,NA,NA,NA,NA,NA,144.652763741078,144.652763741078,NA,2.4623
821837,68580,"SNOW",1,69,69,4,NA,NA,NA,NA,NA,132.40126185963,132.40126185963,NA,2.4623
821837,68580,"SNOW",1,64,64,4,NA,NA,NA,NA,NA,104.883604532211,104.883604532211,NA,2.4623
821837,68580,"SNOW",1,59,59,4,NA,NA,NA,NA,NA,81.5244667882894,81.5244667882894,NA,2.4623
821837,68580,"SNOW",1,96,96,4,NA,NA,NA,NA,NA,368.219500648081,368.219500648081,NA,2.4623
821837,68580,"SNOW",1,65,65,4,NA,NA,NA,NA,NA,110.043043663286,110.043043663286,NA,2.4623
821837,68580,"SNOW",1,57,57,4,NA,NA,NA,NA,NA,73.2655688170407,73.2655688170407,NA,2.4623
821837,68580,"SNOW",1,86,86,5,NA,NA,NA,NA,NA,261.904157770242,261.904157770242,NA,2.4623
821837,68580,"SNOW",1,73,73,5,NA,NA,NA,NA,NA,157.649856525966,157.649856525966,NA,2.4623
821837,68580,"SNOW",1,79,79,2,NA,NA,NA,NA,NA,201.345748043429,201.345748043429,NA,2.4623
821837,68580,"SNOW",1,83,83,2,NA,NA,NA,NA,NA,234.628973302234,234.628973302234,NA,2.4623
821837,68580,"SNOW",1,99,99,2,NA,NA,NA,NA,NA,405.040410695875,405.040410695875,NA,2.4623
821837,68580,"SNOW",1,89,89,2,NA,NA,NA,NA,NA,291.249579906558,291.249579906558,NA,2.4623
821837,68580,"SNOW",1,83,83,2,NA,NA,NA,NA,NA,234.628973302234,234.628973302234,NA,2.4623
821837,68580,"SNOW",1,77,77,2,NA,NA,NA,NA,NA,185.973180915107,185.973180915107,NA,2.4623
821837,68580,"SNOW",1,88,88,2,NA,NA,NA,NA,NA,281.232852026961,281.232852026961,NA,2.4623
821837,68580,"SNOW",1,86,86,2,NA,NA,NA,NA,NA,261.904157770242,261.904157770242,NA,2.4623
821837,68580,"SNOW",1,78,78,2,NA,NA,NA,NA,NA,193.556136987749,193.556136987749,NA,2.4623
821837,68580,"SNOW",1,85,85,2,NA,NA,NA,NA,NA,252.586315169063,252.586315169063,NA,2.4623
821837,68580,"SNOW",1,81,81,2,NA,NA,NA,NA,NA,217.556574226675,217.556574226675,NA,2.4623
821837,68580,"SNOW",1,84,84,2,NA,NA,NA,NA,NA,243.495563611932,243.495563611932,NA,2.4623
821837,68580,"SNOW",1,78,78,2,NA,NA,NA,NA,NA,193.556136987749,193.556136987749,NA,2.4623
821837,68580,"SNOW",1,89,89,2,NA,NA,NA,NA,NA,291.249579906558,291.249579906558,NA,2.4623
821837,68580,"SNOW",1,87,87,2,NA,NA,NA,NA,NA,271.452024566283,271.452024566283,NA,2.4623
821837,68580,"SNOW",1,91,91,2,NA,NA,NA,NA,NA,312.002512160583,312.002512160583,NA,2.4623
821837,68580,"SNOW",1,86,86,2,NA,NA,NA,NA,NA,261.904157770242,261.904157770242,NA,2.4623
821837,68580,"SNOW",1,87,87,2,NA,NA,NA,NA,NA,271.452024566283,271.452024566283,NA,2.4623
821837,68580,"SNOW",1,82,82,2,NA,NA,NA,NA,NA,225.983617833584,225.983617833584,NA,2.4623
821837,68580,"SNOW",1,84,84,2,NA,NA,NA,NA,NA,243.495563611932,243.495563611932,NA,2.4623
821837,68580,"SNOW",1,86,86,2,NA,NA,NA,NA,NA,261.904157770242,261.904157770242,NA,2.4623
821837,68580,"SNOW",1,86,86,2,NA,NA,NA,NA,NA,261.904157770242,261.904157770242,NA,2.4623
821837,68580,"SNOW",1,77,77,2,NA,NA,NA,NA,NA,185.973180915107,185.973180915107,NA,2.4623
821837,68580,"SNOW",1,88,88,2,NA,NA,NA,NA,NA,281.232852026961,281.232852026961,NA,2.4623
821837,68580,"SNOW",1,89,89,2,NA,NA,NA,NA,NA,291.249579906558,291.249579906558,NA,2.4623
821837,68580,"SNOW",1,89,89,2,NA,NA,NA,NA,NA,291.249579906558,291.249579906558,NA,2.4623
821837,68580,"SNOW",1,85,85,2,NA,NA,NA,NA,NA,252.586315169063,252.586315169063,NA,2.4623
821837,68580,"SNOW",1,87,87,2,NA,NA,NA,NA,NA,271.452024566283,271.452024566283,NA,2.4623
821837,68580,"SNOW",1,88,88,2,NA,NA,NA,NA,NA,281.232852026961,281.232852026961,NA,2.4623
821837,68580,"SNOW",1,91,91,2,NA,NA,NA,NA,NA,312.002512160583,312.002512160583,NA,2.4623
821837,68580,"SNOW",1,88,88,2,NA,NA,NA,NA,NA,281.232852026961,281.232852026961,NA,2.4623
821837,68580,"SNOW",1,98,98,2,NA,NA,NA,NA,NA,392.502292767334,392.502292767334,NA,2.4623
821837,68580,"SNOW",1,82,82,2,NA,NA,NA,NA,NA,225.983617833584,225.983617833584,NA,2.4623
821837,68580,"SNOW",1,86,86,2,NA,NA,NA,NA,NA,261.904157770242,261.904157770242,NA,2.4623
821837,68580,"SNOW",1,84,84,2,NA,NA,NA,NA,NA,243.495563611932,243.495563611932,NA,2.4623
821837,68580,"SNOW",1,78,78,2,NA,NA,NA,NA,NA,193.556136987749,193.556136987749,NA,2.4623
821837,68580,"SNOW",1,88,88,2,NA,NA,NA,NA,NA,281.232852026961,281.232852026961,NA,2.4623
821837,68580,"SNOW",1,85,85,2,NA,NA,NA,NA,NA,252.586315169063,252.586315169063,NA,2.4623
821837,68580,"SNOW",1,86,86,2,NA,NA,NA,NA,NA,261.904157770242,261.904157770242,NA,2.4623
821837,68580,"SNOW",1,94,94,2,NA,NA,NA,NA,NA,344.974842715057,344.974842715057,NA,2.4623
821837,68580,"SNOW",1,89,89,2,NA,NA,NA,NA,NA,291.249579906558,291.249579906558,NA,2.4623
821837,68580,"SNOW",1,84,84,2,NA,NA,NA,NA,NA,243.495563611932,243.495563611932,NA,2.4623
821837,68580,"SNOW",1,88,88,2,NA,NA,NA,NA,NA,281.232852026961,281.232852026961,NA,2.4623
821837,68580,"SNOW",1,92,92,2,NA,NA,NA,NA,NA,322.744612166237,322.744612166237,NA,2.4623
821837,68580,"SNOW",1,86,86,2,NA,NA,NA,NA,NA,261.904157770242,261.904157770242,NA,2.4623
821837,68580,"SNOW",1,94,94,2,NA,NA,NA,NA,NA,344.974842715057,344.974842715057,NA,2.4623
821837,68580,"SNOW",1,73,73,2,NA,NA,NA,NA,NA,157.649856525966,157.649856525966,NA,2.4623
821837,68580,"SNOW",1,79,79,2,NA,NA,NA,NA,NA,201.345748043429,201.345748043429,NA,2.4623
821837,68580,"SNOW",1,83,83,2,NA,NA,NA,NA,NA,234.628973302234,234.628973302234,NA,2.4623
821837,68580,"SNOW",1,91,91,2,NA,NA,NA,NA,NA,312.002512160583,312.002512160583,NA,2.4623
821837,68580,"SNOW",1,87,87,2,NA,NA,NA,NA,NA,271.452024566283,271.452024566283,NA,2.4623
821837,68580,"SNOW",1,83,83,2,NA,NA,NA,NA,NA,234.628973302234,234.628973302234,NA,2.4623
821837,68580,"SNOW",1,83,83,2,NA,NA,NA,NA,NA,234.628973302234,234.628973302234,NA,2.4623
821837,68560,"TANNER",1,127,127,4,NA,NA,NA,NA,NA,615.659405444727,615.659405444727,NA,1
821837,68560,"TANNER",1,94,94,4,NA,NA,NA,NA,NA,247.982216158355,247.982216158355,NA,1
821837,68560,"TANNER",1,92,92,4,NA,NA,NA,NA,NA,232.377313189384,232.377313189384,NA,1
821837,68560,"TANNER",1,116,116,4,NA,NA,NA,NA,NA,468.201116464652,468.201116464652,NA,1
821837,68560,"TANNER",1,88,88,4,NA,NA,NA,NA,NA,203.165967219316,203.165967219316,NA,1
821837,68560,"TANNER",1,107,107,4,NA,NA,NA,NA,NA,366.803505692893,366.803505692893,NA,1
821837,68560,"TANNER",1,111,111,4,NA,NA,NA,NA,NA,409.830125768422,409.830125768422,NA,1
821837,68560,"TANNER",1,115,115,4,NA,NA,NA,NA,NA,456.109135836246,456.109135836246,NA,1
821837,68560,"TANNER",1,83,83,4,NA,NA,NA,NA,NA,170.24521560081,170.24521560081,NA,1
821837,68560,"TANNER",1,95,95,4,NA,NA,NA,NA,NA,256.040999756374,256.040999756374,NA,1
821837,68560,"TANNER",1,80,80,4,NA,NA,NA,NA,NA,152.319925598486,152.319925598486,NA,1
821837,68560,"TANNER",1,83,83,4,NA,NA,NA,NA,NA,170.24521560081,170.24521560081,NA,1
821837,68560,"TANNER",1,93,93,4,NA,NA,NA,NA,NA,240.094942214265,240.094942214265,NA,1
821837,68560,"TANNER",1,117,117,4,NA,NA,NA,NA,NA,480.505734748787,480.505734748787,NA,1
821837,68560,"TANNER",1,104,104,4,NA,NA,NA,NA,NA,336.595881678116,336.595881678116,NA,1
821837,68560,"TANNER",1,93,93,4,NA,NA,NA,NA,NA,240.094942214265,240.094942214265,NA,1
821837,68560,"TANNER",1,95,95,4,NA,NA,NA,NA,NA,256.040999756374,256.040999756374,NA,1
821837,68560,"TANNER",1,90,90,4,NA,NA,NA,NA,NA,217.443533181944,217.443533181944,NA,1
821837,68560,"TANNER",1,88,88,4,NA,NA,NA,NA,NA,203.165967219316,203.165967219316,NA,1
821837,68560,"TANNER",1,87,87,4,NA,NA,NA,NA,NA,196.26860746893,196.26860746893,NA,1
821837,68560,"TANNER",1,118,118,4,NA,NA,NA,NA,NA,493.024864523101,493.024864523101,NA,1
821837,68560,"TANNER",1,100,100,4,NA,NA,NA,NA,NA,298.972858760726,298.972858760726,NA,1
821837,68560,"TANNER",1,103,103,4,NA,NA,NA,NA,NA,326.909527122274,326.909527122274,NA,1
821837,68560,"TANNER",1,94,94,4,NA,NA,NA,NA,NA,247.982216158355,247.982216158355,NA,1
821837,68560,"TANNER",1,90,90,4,NA,NA,NA,NA,NA,217.443533181944,217.443533181944,NA,1
821837,68580,"SNOW",1,83,83,5,NA,NA,NA,NA,NA,234.628973302234,234.628973302234,NA,2.4623
821837,68580,"SNOW",1,63,63,3,NA,NA,NA,NA,NA,99.8904975145986,99.8904975145986,NA,2.4623
821837,68580,"SNOW",1,102,102,3,NA,NA,NA,NA,NA,444.277346323576,444.277346323576,NA,2.4623
821837,68580,"SNOW",1,66,66,3,NA,NA,NA,NA,NA,115.371668747094,115.371668747094,NA,2.4623
821837,68580,"SNOW",1,78,78,3,NA,NA,NA,NA,NA,193.556136987749,193.556136987749,NA,2.4623
821837,68580,"SNOW",1,73,73,3,NA,NA,NA,NA,NA,157.649856525966,157.649856525966,NA,2.4623
821837,68580,"SNOW",1,63,63,3,NA,NA,NA,NA,NA,99.8904975145986,99.8904975145986,NA,2.4623
