"HAULJOIN","CRUISE","VESSEL","HAUL","SPECIES_CODE","SEX","LENGTH","WIDTH","SHELL_CONDITION","SAMPLING_FACTOR","CHELA_HEIGHT","STATIONID"
821837,199501,88,213,68580,1,NA,83,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,99,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,89,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,83,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,77,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,88,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,86,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,78,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,85,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,81,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,84,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,78,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,89,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,87,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,91,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,86,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,87,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,82,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,84,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,86,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,86,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,77,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,88,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,89,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,89,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,85,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,87,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,88,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,91,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,88,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,98,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,82,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,86,2,2.4623,NA,"G-02"
821836,199501,88,212,68580,1,NA,85,4,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,71,4,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,60,4,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,80,4,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,72,4,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,65,1,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,87,2,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,87,2,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,108,2,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,97,2,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,84,2,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,90,2,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,83,2,1,NA,"G-02"
821836,199501,88,212,68560,1,NA,116,4,1,NA,"G-02"
821836,199501,88,212,68560,1,NA,106,4,1,NA,"G-02"
821836,199501,88,212,68560,1,NA,92,4,1,NA,"G-02"
821836,199501,88,212,68560,1,NA,125,4,1,NA,"G-02"
821836,199501,88,212,68560,1,NA,109,4,1,NA,"G-02"
821836,199501,88,212,68560,1,NA,102,5,1,NA,"G-02"
821837,199501,88,213,68580,1,NA,84,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,78,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,88,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,85,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,86,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,94,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,89,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,84,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,88,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,92,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,86,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,94,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,73,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,79,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,83,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,91,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,87,2,2.4623,NA,"G-02"
821840,199501,88,216,68580,1,NA,93,2,1,NA,"G-02"
821840,199501,88,216,68580,1,NA,88,2,1,NA,"G-02"
821840,199501,88,216,68580,1,NA,87,2,1,NA,"G-02"
821840,199501,88,216,68580,1,NA,82,2,1,NA,"G-02"
821840,199501,88,216,68580,1,NA,99,2,1,NA,"G-02"
821840,199501,88,216,68580,1,NA,86,2,1,NA,"G-02"
821840,199501,88,216,68580,1,NA,73,2,1,NA,"G-02"
821840,199501,88,216,68580,1,NA,103,2,1,NA,"G-02"
821840,199501,88,216,68580,1,NA,86,2,1,NA,"G-02"
821840,199501,88,216,68580,1,NA,82,2,1,NA,"G-02"
821840,199501,88,216,68580,1,NA,86,2,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,78,3,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,74,3,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,85,2,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,79,2,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,73,2,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,89,2,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,80,2,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,71,2,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,109,2,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,92,2,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,83,2,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,83,2,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,78,2,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,78,2,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,94,2,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,88,2,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,87,2,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,75,2,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,89,2,1,NA,"G-02"
821840,199501,88,216,68580,1,NA,71,5,1,NA,"G-02"
821840,199501,88,216,68580,2,NA,49,4,1,NA,"G-02"
821840,199501,88,216,68560,1,NA,103,4,1,NA,"G-02"
821840,199501,88,216,68560,1,NA,119,4,1,NA,"G-02"
821840,199501,88,216,68560,1,NA,88,4,1,NA,"G-02"
821840,199501,88,216,68560,1,NA,92,4,1,NA,"G-02"
821840,199501,88,216,68560,1,NA,133,4,1,NA,"G-02"
821840,199501,88,216,68560,1,NA,93,4,1,NA,"G-02"
821840,199501,88,216,68560,1,NA,92,4,1,NA,"G-02"
821840,199501,88,216,68560,1,NA,98,4,1,NA,"G-02"
821840,199501,88,216,68560,1,NA,40,2,1,NA,"G-02"
821840,199501,88,216,68560,1,NA,37,2,1,NA,"G-02"
821840,199501,88,216,68560,1,NA,29,2,1,NA,"G-02"
821840,199501,88,216,68560,1,NA,41,2,1,NA,"G-02"
821840,199501,88,216,68560,2,NA,87,2,1,NA,"G-02"
821840,199501,88,216,68560,2,NA,37,2,1,NA,"G-02"
821840,199501,88,216,68560,2,NA,35,2,1,NA,"G-02"
821840,199501,88,216,68560,2,NA,38,2,1,NA,"G-02"
821840,199501,88,216,68560,2,NA,29,2,1,NA,"G-02"
821840,199501,88,216,68560,2,NA,44,2,1,NA,"G-02"
821840,199501,88,216,69400,1,89,NA,4,1,NA,"G-02"
821840,199501,88,216,69400,1,79,NA,4,1,NA,"G-02"
821841,199501,88,217,68580,1,NA,85,1,1,NA,"G-02"
821841,199501,88,217,68580,1,NA,90,1,1,NA,"G-02"
821841,199501,88,217,68580,1,NA,90,1,1,NA,"G-02"
821841,199501,88,217,68580,1,NA,83,1,1,NA,"G-02"
821840,199501,88,216,68580,1,NA,89,2,1,NA,"G-02"
821840,199501,88,216,68580,1,NA,102,2,1,NA,"G-02"
821840,199501,88,216,68580,1,NA,92,2,1,NA,"G-02"
821840,199501,88,216,68580,1,NA,85,2,1,NA,"G-02"
821840,199501,88,216,68580,1,NA,88,2,1,NA,"G-02"
821840,199501,88,216,68580,1,NA,82,2,1,NA,"G-02"
821840,199501,88,216,68580,1,NA,86,2,1,NA,"G-02"
821840,199501,88,216,68580,1,NA,64,2,1,NA,"G-02"
821840,199501,88,216,68580,1,NA,89,2,1,NA,"G-02"
821840,199501,88,216,68580,1,NA,88,2,1,NA,"G-02"
821840,199501,88,216,68580,1,NA,91,2,1,NA,"G-02"
821840,199501,88,216,68580,1,NA,75,2,1,NA,"G-02"
821840,199501,88,216,68580,1,NA,90,2,1,NA,"G-02"
821840,199501,88,216,68580,1,NA,93,2,1,NA,"G-02"
821840,199501,88,216,68580,1,NA,86,2,1,NA,"G-02"
821840,199501,88,216,68580,1,NA,90,2,1,NA,"G-02"
821840,199501,88,216,68580,1,NA,81,2,1,NA,"G-02"
821840,199501,88,216,68580,1,NA,81,2,1,NA,"G-02"
821840,199501,88,216,68580,1,NA,83,2,1,NA,"G-02"
821840,199501,88,216,68580,1,NA,82,2,1,NA,"G-02"
821840,199501,88,216,68580,1,NA,87,2,1,NA,"G-02"
821840,199501,88,216,68580,1,NA,86,2,1,NA,"G-02"
821840,199501,88,216,68580,1,NA,93,2,1,NA,"G-02"
821840,199501,88,216,68580,1,NA,82,2,1,NA,"G-02"
821840,199501,88,216,68580,1,NA,96,2,1,NA,"G-02"
821840,199501,88,216,68580,1,NA,81,2,1,NA,"G-02"
821840,199501,88,216,68580,1,NA,96,2,1,NA,"G-02"
821840,199501,88,216,68580,1,NA,62,2,1,NA,"G-02"
821840,199501,88,216,68580,1,NA,104,4,1,NA,"G-02"
821840,199501,88,216,68580,1,NA,56,4,1,NA,"G-02"
821840,199501,88,216,68580,1,NA,69,4,1,NA,"G-02"
821840,199501,88,216,68580,1,NA,59,4,1,NA,"G-02"
821840,199501,88,216,68580,1,NA,48,4,1,NA,"G-02"
821840,199501,88,216,68580,1,NA,75,5,1,NA,"G-02"
821837,199501,88,213,68580,1,NA,83,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,83,2,2.4623,NA,"G-02"
821837,199501,88,213,68560,1,NA,127,4,1,NA,"G-02"
821837,199501,88,213,68560,1,NA,94,4,1,NA,"G-02"
821837,199501,88,213,68560,1,NA,92,4,1,NA,"G-02"
821837,199501,88,213,68560,1,NA,116,4,1,NA,"G-02"
821837,199501,88,213,68560,1,NA,88,4,1,NA,"G-02"
821837,199501,88,213,68560,1,NA,107,4,1,NA,"G-02"
821837,199501,88,213,68560,1,NA,111,4,1,NA,"G-02"
821837,199501,88,213,68560,1,NA,115,4,1,NA,"G-02"
821837,199501,88,213,68560,1,NA,83,4,1,NA,"G-02"
821837,199501,88,213,68560,1,NA,95,4,1,NA,"G-02"
821837,199501,88,213,68560,1,NA,80,4,1,NA,"G-02"
821837,199501,88,213,68560,1,NA,83,4,1,NA,"G-02"
821837,199501,88,213,68560,1,NA,93,4,1,NA,"G-02"
821837,199501,88,213,68560,1,NA,117,4,1,NA,"G-02"
821837,199501,88,213,68560,1,NA,104,4,1,NA,"G-02"
821837,199501,88,213,68560,1,NA,93,4,1,NA,"G-02"
821837,199501,88,213,68560,1,NA,95,4,1,NA,"G-02"
821837,199501,88,213,68560,1,NA,90,4,1,NA,"G-02"
821837,199501,88,213,68560,1,NA,88,4,1,NA,"G-02"
821837,199501,88,213,68560,1,NA,87,4,1,NA,"G-02"
821837,199501,88,213,68560,1,NA,118,4,1,NA,"G-02"
821837,199501,88,213,68560,1,NA,100,4,1,NA,"G-02"
821837,199501,88,213,68560,1,NA,103,4,1,NA,"G-02"
821837,199501,88,213,68560,1,NA,94,4,1,NA,"G-02"
821837,199501,88,213,68560,1,NA,90,4,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,83,2,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,93,2,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,95,2,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,81,2,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,85,2,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,91,2,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,97,2,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,86,2,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,89,2,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,90,2,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,86,2,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,90,2,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,83,2,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,89,2,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,87,2,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,91,2,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,77,2,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,78,2,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,84,2,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,83,2,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,97,2,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,96,2,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,93,2,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,97,2,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,83,2,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,85,2,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,83,2,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,95,2,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,57,2,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,83,2,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,98,2,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,85,2,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,78,3,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,86,3,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,106,3,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,78,3,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,61,3,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,63,3,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,71,3,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,53,3,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,65,3,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,70,4,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,76,4,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,80,4,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,62,4,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,78,4,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,62,4,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,78,4,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,80,4,1,NA,"G-02"
821836,199501,88,212,68580,1,NA,70,4,1,NA,"G-02"
