SPECIES_CODE,SEX,WIDTH,LENGTH,SHELL_CONDITION,SAMPLING_FACTOR,VESSEL,HAUL,CRUISE
69322,2,,107,2,2.2471,89,7,199801
69322,2,,116,2,2.2471,89,7,199801
69322,2,,108,2,2.2471,89,7,199801
69322,2,,112,2,2.2471,89,7,199801
69322,2,,100,2,2.2471,89,7,199801
69322,2,,111,2,2.2471,89,7,199801
69322,2,,100,2,2.2471,89,7,199801
69322,2,,117,2,2.2471,89,7,199801
69322,2,,144,2,2.2471,89,7,199801
69322,2,,107,2,2.2471,89,7,199801
69322,2,,112,2,2.2471,89,7,199801
69322,2,,120,2,2.2471,89,7,199801
69322,2,,105,2,2.2471,89,7,199801
69322,2,,104,2,2.2471,89,7,199801
69322,2,,101,2,2.2471,89,7,199801
69322,2,,110,2,2.2471,89,7,199801
69322,2,,103,2,2.2471,89,7,199801
69322,2,,100,2,2.2471,89,7,199801
69322,2,,106,2,2.2471,89,7,199801
69322,2,,106,2,2.2471,89,7,199801
69322,2,,104,2,2.2471,89,7,199801
69322,2,,103,2,2.2471,89,7,199801
69322,2,,111,2,2.2471,89,7,199801
69322,2,,98,2,2.2471,89,7,199801
69322,2,,100,2,2.2471,89,7,199801
69322,2,,95,2,2.2471,89,7,199801
69322,2,,106,2,2.2471,89,7,199801
69322,2,,110,2,2.2471,89,7,199801
69322,2,,96,2,2.2471,89,7,199801
69322,2,,107,2,2.2471,89,7,199801
69322,2,,119,2,2.2471,89,7,199801
69322,2,,110,2,2.2471,89,7,199801
69322,2,,99,2,2.2471,89,7,199801
69322,2,,108,2,2.2471,89,7,199801
69322,2,,102,2,2.2471,89,7,199801
69322,1,,98,2,1,89,7,199801
69322,1,,94,2,1,89,7,199801
69322,1,,127,2,1,89,7,199801
69322,1,,115,2,1,89,7,199801
69322,2,,95,2,2.2471,89,7,199801
69322,2,,78,2,2.2471,89,7,199801
69322,2,,75,2,2.2471,89,7,199801
69322,2,,80,2,2.2471,89,7,199801
69322,1,,148,3,1,89,7,199801
69322,2,,87,2,2.2471,89,7,199801
69322,1,,83,2,1,89,7,199801
69322,2,,110,2,2.2471,89,7,199801
69322,2,,111,2,2.2471,89,7,199801
69322,2,,105,2,2.2471,89,7,199801
69322,2,,110,2,2.2471,89,7,199801
69322,2,,100,2,2.2471,89,7,199801
69322,1,,142,4,1,89,7,199801
69322,1,,119,3,1,89,7,199801
69322,1,,131,3,1,89,7,199801
69322,1,,164,5,1,89,7,199801
69322,2,,104,2,2.2471,89,7,199801
69322,2,,107,2,2.2471,89,7,199801
69322,2,,106,2,2.2471,89,7,199801
69322,2,,106,2,2.2471,89,7,199801
69322,2,,110,2,2.2471,89,7,199801
69322,2,,108,2,2.2471,89,7,199801
69322,2,,111,2,2.2471,89,7,199801
69322,2,,104,2,2.2471,89,7,199801
69322,2,,104,2,2.2471,89,7,199801
69322,2,,104,2,2.2471,89,7,199801
69322,2,,102,2,2.2471,89,7,199801
69322,1,,114,2,1,89,7,199801
69322,2,,95,2,2.2471,89,7,199801
69322,2,,106,2,2.2471,89,7,199801
69322,2,,102,2,2.2471,89,7,199801
69322,1,,98,2,1,89,7,199801
69322,1,,133,3,1,89,7,199801
69322,2,,106,2,2.2471,89,7,199801
69322,1,,127,2,1,89,7,199801
69322,1,,109,2,1,89,7,199801
69322,1,,86,2,1,89,7,199801
69322,1,,115,2,1,89,7,199801
69322,1,,145,3,1,89,7,199801
69322,2,,107,2,2.2471,89,7,199801
69322,2,,106,2,2.2471,89,7,199801
69322,1,,147,4,1,89,7,199801
69322,1,,113,2,1,89,7,199801
69322,1,,151,3,1,89,7,199801
69322,1,,125,2,1,89,7,199801
69322,1,,130,3,1,89,7,199801
69322,1,,169,3,1,89,7,199801
69322,1,,132,3,1,89,7,199801
69322,1,,115,2,1,89,7,199801
69322,2,,103,2,2.2471,89,7,199801
69322,1,,82,2,1,89,7,199801
69322,2,,103,2,2.2471,89,7,199801
69322,1,,86,2,1,89,7,199801
69322,2,,130,2,2.2471,89,7,199801
69322,2,,104,2,2.2471,89,7,199801
69322,2,,103,2,2.2471,89,7,199801
69322,2,,103,2,2.2471,89,7,199801
69322,2,,105,2,2.2471,89,7,199801
69322,2,,104,2,2.2471,89,7,199801
69322,2,,103,2,2.2471,89,7,199801
69322,2,,108,2,2.2471,89,7,199801
69322,2,,111,2,2.2471,89,7,199801
69322,2,,105,2,2.2471,89,7,199801
69322,1,,158,5,1,89,7,199801
69322,1,,140,3,1,89,7,199801
69322,1,,154,4,1,89,7,199801
69322,1,,144,3,1,89,7,199801
69322,1,,162,4,1,89,7,199801
69322,1,,79,2,1,89,7,199801
69322,1,,175,5,1,89,7,199801
69322,1,,107,2,1,89,7,199801
69322,1,,154,5,1,89,7,199801
69322,2,,98,2,2.2471,89,7,199801
69322,2,,107,2,2.2471,89,7,199801
69322,1,,116,2,1,89,7,199801
69322,1,,138,3,1,89,7,199801
69322,1,,165,4,1,89,7,199801
69322,1,,113,2,1,89,7,199801
69322,1,,136,4,1,89,7,199801
69322,1,,115,2,1,89,7,199801
69322,1,,103,2,1,89,7,199801
69322,1,,92,2,1,89,7,199801
69322,1,,78,2,1,89,7,199801
69322,1,,114,2,1,89,7,199801
69322,1,,98,2,1,89,7,199801
68560,2,60,,2,1,89,8,199801
68560,2,78,,2,1,89,8,199801
68560,1,97,,4,1,89,8,199801
68560,2,100,,4,1,89,8,199801
68560,1,120,,4,1,89,8,199801
69322,1,,134,2,1,89,8,199801
69322,1,,115,3,1,89,8,199801
69322,1,,122,3,1,89,8,199801
69322,2,,105,2,1,89,8,199801
69322,2,,138,2,1,89,8,199801
69322,1,,82,2,1,89,8,199801
69322,2,,92,2,1,89,8,199801
69322,1,,116,3,1,89,8,199801
69322,2,,136,2,1,89,8,199801
69322,1,,125,2,1,89,8,199801
69322,1,,120,3,1,89,8,199801
69322,1,,77,2,1,89,8,199801
69322,2,,105,2,1,89,8,199801
69322,1,,97,2,1,89,8,199801
69322,1,,128,4,1,89,8,199801
69322,1,,126,4,1,89,8,199801
69322,1,,140,4,1,89,8,199801
69322,1,,124,3,1,89,8,199801
69322,1,,124,4,1,89,8,199801
69322,1,,132,3,1,89,8,199801
69322,1,,133,3,1,89,8,199801
69322,1,,115,3,1,89,8,199801
69322,1,,126,3,1,89,8,199801
69322,1,,136,4,1,89,8,199801
69322,2,,105,2,1,89,8,199801
69322,1,,131,3,1,89,8,199801
69322,1,,95,2,1,89,8,199801
69322,1,,122,2,1,89,8,199801
69322,1,,123,2,1,89,8,199801
69322,1,,122,3,1,89,8,199801
69322,1,,136,3,1,89,8,199801
69322,1,,112,3,1,89,8,199801
69322,1,,124,3,1,89,8,199801
69322,1,,123,3,1,89,8,199801
69322,1,,129,3,1,89,8,199801
69322,1,,117,2,1,89,8,199801
69322,1,,117,2,1,89,8,199801
69322,1,,123,3,1,89,8,199801
68560,2,74,,2,1,89,9,199801
68560,1,86,,2,1,89,9,199801
68560,2,87,,2,1,89,9,199801
68560,1,97,,2,1,89,9,199801
68560,1,107,,2,1,89,9,199801
68560,1,138,,5,1,89,9,199801
68580,1,75,,5,1,89,9,199801
69322,2,,152,2,1,89,9,199801
69322,1,,132,3,1,89,9,199801
69322,1,,117,3,1,89,9,199801
69322,1,,112,3,1,89,9,199801
69322,1,,132,3,1,89,9,199801
69322,1,,109,3,1,89,9,199801
69322,1,,122,3,1,89,9,199801
69322,1,,126,3,1,89,9,199801
69322,1,,126,3,1,89,9,199801
69322,2,,105,2,1,89,9,199801
69322,1,,104,3,1,89,9,199801
69322,2,,134,2,1,89,9,199801
69322,2,,124,2,1,89,9,199801
69322,2,,114,2,1,89,9,199801
69322,1,,136,3,1,89,9,199801
69322,2,,125,2,1,89,9,199801
69322,2,,138,2,1,89,9,199801
69322,2,,118,2,1,89,9,199801
69322,2,,123,2,1,89,9,199801
69322,2,,105,2,1,89,9,199801
69322,2,,132,2,1,89,9,199801
69322,2,,115,2,1,89,9,199801
69322,2,,95,2,1,89,9,199801
69322,2,,141,2,1,89,9,199801
69322,2,,117,2,1,89,9,199801
69322,2,,108,2,1,89,9,199801
69322,2,,115,2,1,89,9,199801
69322,2,,123,2,1,89,9,199801
69322,2,,118,2,1,89,9,199801
69322,1,,109,3,1,89,9,199801
69322,2,,114,2,1,89,9,199801
69322,2,,110,2,1,89,9,199801
69322,1,,123,3,1,89,9,199801
69322,2,,108,2,1,89,9,199801
69322,1,,135,3,1,89,9,199801
69322,2,,106,2,1,89,9,199801
69322,2,,108,2,1,89,9,199801
69322,2,,109,2,1,89,9,199801
69322,2,,106,2,1,89,9,199801
69322,2,,112,2,1,89,9,199801
69322,2,,100,2,1,89,9,199801
69322,2,,90,2,1,89,9,199801
69322,2,,85,2,1,89,9,199801
69322,1,,123,3,1,89,9,199801
69322,1,,136,3,1,89,9,199801
69322,2,,101,2,1,89,9,199801
69322,2,,106,2,1,89,9,199801
69322,2,,138,2,1,89,9,199801
69322,2,,117,2,1,89,9,199801
69322,1,,116,3,1,89,9,199801
69322,1,,110,3,1,89,9,199801
69322,1,,116,3,1,89,9,199801
69322,1,,122,4,1,89,9,199801
69322,2,,107,2,1,89,9,199801
69322,1,,149,4,1,89,9,199801
69322,1,,109,3,1,89,9,199801
69322,1,,115,3,1,89,9,199801
69322,2,,109,2,1,89,9,199801
69322,2,,106,2,1,89,9,199801
69322,2,,109,2,1,89,9,199801
69322,2,,110,2,1,89,9,199801
69322,2,,104,2,1,89,9,199801
69322,1,,138,4,1,89,9,199801
69322,2,,114,2,1,89,9,199801
69322,2,,102,2,1,89,9,199801
69322,2,,135,2,1,89,9,199801
69322,2,,123,2,1,89,9,199801
69322,2,,132,2,1,89,9,199801
69322,2,,117,2,1,89,9,199801
69322,2,,146,2,1,89,9,199801
69322,2,,101,2,1,89,9,199801
69322,2,,110,2,1,89,9,199801
69322,2,,137,2,1,89,9,199801
69322,2,,124,2,1,89,9,199801
69322,2,,107,2,1,89,9,199801
69322,2,,118,2,1,89,9,199801
69322,2,,114,2,1,89,9,199801
69322,2,,110,2,1,89,9,199801
69322,2,,103,2,1,89,9,199801
69322,2,,109,2,1,89,9,199801
69322,2,,124,2,1,89,9,199801
69322,2,,120,2,1,89,9,199801
69322,2,,108,2,1,89,9,199801
69322,2,,125,2,1,89,9,199801
69322,2,,109,2,1,89,9,199801
68560,1,104,,2,1,89,10,199801
68560,1,114,,3,1,89,10,199801
68560,1,120,,4,1,89,10,199801
68560,1,124,,3,1,89,10,199801
68560,1,130,,3,1,89,10,199801
68560,1,147,,4,1,89,10,199801
68560,1,148,,4,1,89,10,199801
68560,1,158,,4,1,89,10,199801
68560,1,161,,4,1,89,10,199801
68580,1,81,,4,1,89,10,199801
68580,1,105,,3,1,89,10,199801
68580,1,74,,3,1,89,10,199801
68580,1,69,,3,1,89,10,199801
68580,1,66,,3,1,89,10,199801
68580,1,84,,4,1,89,10,199801
68580,1,99,,4,1,89,10,199801
68580,1,98,,3,1,89,10,199801
68580,1,79,,4,1,89,10,199801
68580,1,106,,3,1,89,10,199801
68580,1,108,,3,1,89,10,199801
68580,1,72,,3,1,89,10,199801
68580,1,127,,3,1,89,10,199801
68580,1,77,,3,1,89,10,199801
68580,1,79,,4,1,89,10,199801
68580,1,90,,5,1,89,10,199801
68580,1,78,,4,1,89,10,199801
68580,1,63,,5,1,89,10,199801
68580,1,87,,4,1,89,10,199801
68580,1,103,,3,1,89,10,199801
68580,1,77,,4,1,89,10,199801
68580,1,73,,4,1,89,10,199801
68580,1,66,,5,1,89,10,199801
68580,1,80,,4,1,89,10,199801
68580,1,72,,5,1,89,10,199801
68580,1,78,,5,1,89,10,199801
68580,1,97,,4,1,89,10,199801
68580,1,72,,5,1,89,10,199801
68580,1,111,,3,1,89,10,199801
68580,1,75,,5,1,89,10,199801
68580,1,77,,3,1,89,10,199801
68580,1,75,,5,1,89,10,199801
68580,1,90,,4,1,89,10,199801
69322,2,,112,2,1,89,10,199801
69322,2,,89,2,1,89,10,199801
69322,2,,112,2,1,89,10,199801
69322,2,,116,2,1,89,10,199801
69322,2,,109,2,1,89,10,199801
69322,2,,116,2,1,89,10,199801
69322,2,,145,2,1,89,10,199801
69322,2,,115,2,1,89,10,199801
69322,2,,112,2,1,89,10,199801
69322,2,,114,2,1,89,10,199801
69322,2,,140,2,1,89,10,199801
69322,2,,106,2,1,89,10,199801
69322,2,,110,2,1,89,10,199801
69322,2,,117,2,1,89,10,199801
69322,2,,107,2,1,89,10,199801
69322,2,,107,2,1,89,10,199801
69322,2,,113,2,1,89,10,199801
69322,2,,104,2,1,89,10,199801
69322,2,,110,2,1,89,10,199801
69322,2,,123,2,1,89,10,199801
69322,2,,103,2,1,89,10,199801
69322,1,,172,4,1,89,10,199801
69322,2,,113,2,1,89,10,199801
69322,2,,125,2,1,89,10,199801
69322,1,,97,2,1,89,10,199801
69322,1,,115,2,1,89,10,199801
69322,2,,114,2,1,89,10,199801
69322,1,,130,3,1,89,10,199801
69322,1,,115,2,1,89,10,199801
69322,1,,111,2,1,89,10,199801
69322,1,,95,2,1,89,10,199801
69322,1,,117,2,1,89,10,199801
69322,2,,85,2,1,89,10,199801
69322,1,,126,2,1,89,10,199801
69322,1,,148,4,1,89,10,199801
69322,2,,88,2,1,89,10,199801
69322,1,,115,2,1,89,10,199801
69322,1,,89,2,1,89,10,199801
69322,1,,113,2,1,89,10,199801
69322,1,,91,2,1,89,10,199801
69322,1,,121,3,1,89,10,199801
69322,2,,126,2,1,89,10,199801
69322,1,,117,3,1,89,10,199801
69322,1,,113,3,1,89,10,199801
69322,1,,139,3,1,89,10,199801
69322,1,,170,4,1,89,10,199801
69322,1,,162,4,1,89,10,199801
69322,1,,112,2,1,89,10,199801
69322,2,,88,2,1,89,10,199801
69322,2,,136,2,1,89,10,199801
69322,1,,169,4,1,89,10,199801
69322,1,,162,4,1,89,10,199801
69322,2,,999,2,1,89,10,199801
69322,1,,134,3,1,89,10,199801
68560,1,142,,5,1,89,11,199801
68560,1,152,,5,1,89,11,199801
68560,1,170,,5,1,89,11,199801
68580,1,89,,4,1,89,11,199801
68580,1,75,,5,1,89,11,199801
68580,1,94,,4,1,89,11,199801
68580,1,95,,4,1,89,11,199801
68580,1,82,,4,1,89,11,199801
68580,1,88,,4,1,89,11,199801
68580,1,65,,5,1,89,11,199801
68580,1,79,,5,1,89,11,199801
68580,1,100,,4,1,89,11,199801
68580,1,94,,3,1,89,11,199801
68580,1,68,,3,1,89,11,199801
68580,1,82,,4,1,89,11,199801
68580,1,99,,3,1,89,11,199801
68580,1,79,,5,1,89,11,199801
69322,2,,115,2,1,89,11,199801
69322,2,,122,2,1,89,11,199801
69322,2,,92,2,1,89,11,199801
69322,2,,92,2,1,89,11,199801
69322,2,,110,2,1,89,11,199801
69322,2,,106,2,1,89,11,199801
69322,2,,129,2,1,89,11,199801
69322,2,,134,2,1,89,11,199801
69322,2,,138,2,1,89,11,199801
69322,2,,143,2,1,89,11,199801
69322,2,,139,2,1,89,11,199801
69322,2,,106,2,1,89,11,199801
69322,2,,110,2,1,89,11,199801
69322,1,,149,3,1,89,11,199801
69322,2,,108,2,1,89,11,199801
69322,2,,105,2,1,89,11,199801
69322,2,,117,2,1,89,11,199801
69322,2,,108,2,1,89,11,199801
69322,1,,126,2,1,89,11,199801
69322,2,,108,2,1,89,11,199801
69322,1,,154,5,1,89,11,199801
69322,2,,110,2,1,89,11,199801
69322,1,,113,2,1,89,11,199801
69322,1,,98,2,1,89,11,199801
69322,1,,107,2,1,89,11,199801
69322,1,,105,3,1,89,11,199801
69322,1,,104,3,1,89,11,199801
69322,1,,163,3,1,89,11,199801
69322,1,,115,3,1,89,11,199801
69322,1,,120,3,1,89,11,199801
69322,1,,107,2,1,89,11,199801
69322,1,,116,3,1,89,11,199801
69322,2,,145,2,1,89,11,199801
69322,2,,102,2,1,89,11,199801
69322,1,,125,3,1,89,11,199801
69322,2,,139,2,1,89,11,199801
69322,1,,113,3,1,89,11,199801
69322,1,,123,3,1,89,11,199801
69322,1,,106,3,1,89,11,199801
69322,1,,108,3,1,89,11,199801
69322,1,,100,3,1,89,11,199801
69322,1,,139,4,1,89,11,199801
69322,1,,115,3,1,89,11,199801
68560,1,83,,2,1,88,12,199801
68560,2,86,,2,1,88,12,199801
68560,1,111,,2,1,88,12,199801
68560,1,127,,2,1,88,12,199801
69322,1,,148,2,1,88,12,199801
69322,1,,124,2,1,88,12,199801
69322,1,,128,2,1,88,12,199801
69322,1,,117,2,1,88,12,199801
69322,1,,128,3,1,88,12,199801
69322,1,,135,3,1,88,12,199801
69322,1,,133,2,1,88,12,199801
69322,1,,133,2,1,88,12,199801
69322,1,,111,2,1,88,12,199801
69322,1,,162,2,1,88,12,199801
69322,1,,122,2,1,88,12,199801
69322,1,,125,2,1,88,12,199801
69322,1,,127,2,1,88,12,199801
69322,2,,110,2,1,88,12,199801
69322,1,,137,2,1,88,12,199801
69322,1,,130,2,1,88,12,199801
69322,1,,126,3,1,88,12,199801
69322,1,,142,2,1,88,12,199801
69322,1,,123,2,1,88,12,199801
68560,2,102,,5,1,89,12,199801
68560,1,130,,3,1,89,12,199801
68560,1,143,,4,1,89,12,199801
68580,1,75,,5,1,89,12,199801
68580,1,124,,3,1,89,12,199801
68580,1,100,,3,1,89,12,199801
68580,1,80,,3,1,89,12,199801
68580,1,79,,4,1,89,12,199801
68580,1,91,,3,1,89,12,199801
68580,1,82,,3,1,89,12,199801
69322,2,,109,2,1,89,12,199801
69322,1,,85,2,1,89,12,199801
69322,1,,88,2,1,89,12,199801
69322,1,,106,2,1,89,12,199801
69322,1,,86,2,1,89,12,199801
69322,1,,92,2,1,89,12,199801
69322,1,,104,2,1,89,12,199801
69322,1,,118,2,1,89,12,199801
69322,1,,103,2,1,89,12,199801
69322,1,,93,2,1,89,12,199801
69322,1,,88,2,1,89,12,199801
69322,1,,79,2,1,89,12,199801
69322,1,,107,2,1,89,12,199801
69322,2,,102,2,1,89,12,199801
69322,2,,85,2,1,89,12,199801
69322,1,,90,2,1,89,12,199801
69322,2,,89,2,1,89,12,199801
69322,2,,105,2,1,89,12,199801
69322,2,,114,2,1,89,12,199801
69322,2,,119,2,1,89,12,199801
69322,2,,103,2,1,89,12,199801
69322,2,,105,2,1,89,12,199801
69322,2,,104,2,1,89,12,199801
69322,2,,106,2,1,89,12,199801
69322,2,,107,2,1,89,12,199801
69322,2,,111,2,1,89,12,199801
69322,2,,101,2,1,89,12,199801
69322,2,,110,2,1,89,12,199801
69322,1,,112,2,1,89,12,199801
69322,1,,124,2,1,89,12,199801
69322,2,,119,2,1,89,12,199801
69322,1,,131,4,1,89,12,199801
69322,2,,103,2,1,89,12,199801
69322,1,,101,2,1,89,12,199801
69322,2,,101,2,1,89,12,199801
69322,2,,128,2,1,89,12,199801
69322,2,,105,2,1,89,12,199801
69322,2,,113,2,1,89,12,199801
69322,2,,132,2,1,89,12,199801
69322,2,,103,2,1,89,12,199801
69322,2,,100,2,1,89,12,199801
69322,2,,150,2,1,89,12,199801
69322,1,,105,2,1,89,12,199801
69322,1,,95,2,1,89,12,199801
69322,1,,112,2,1,89,12,199801
69322,1,,98,2,1,89,12,199801
69322,1,,115,2,1,89,12,199801
69322,1,,98,2,1,89,12,199801
69322,1,,93,2,1,89,12,199801
69322,1,,95,2,1,89,12,199801
69322,1,,92,2,1,89,12,199801
69322,1,,106,2,1,89,12,199801
69322,1,,110,2,1,89,12,199801
69322,1,,113,2,1,89,12,199801
69322,1,,115,2,1,89,12,199801
69322,1,,113,2,1,89,12,199801
69322,1,,88,2,1,89,12,199801
69322,2,,106,2,1,89,12,199801
69322,2,,98,2,1,89,12,199801
69322,2,,101,2,1,89,12,199801
69322,2,,104,2,1,89,12,199801
69322,2,,136,2,1,89,12,199801
69322,2,,104,2,1,89,12,199801
69322,2,,105,2,1,89,12,199801
69322,2,,103,2,1,89,12,199801
69322,2,,104,2,1,89,12,199801
69322,2,,102,2,1,89,12,199801
69322,2,,109,2,1,89,12,199801
69322,2,,111,2,1,89,12,199801
69322,2,,103,2,1,89,12,199801
69322,2,,105,2,1,89,12,199801
69322,2,,103,2,1,89,12,199801
69322,2,,102,2,1,89,12,199801
69322,2,,103,2,1,89,12,199801
69322,2,,104,2,1,89,12,199801
69322,2,,118,2,1,89,12,199801
69322,2,,140,2,1,89,12,199801
69322,1,,162,5,1,89,12,199801
69322,2,,104,2,1,89,12,199801
69322,2,,101,2,1,89,12,199801
69322,2,,144,2,1,89,12,199801
69322,2,,104,2,1,89,12,199801
69322,2,,104,2,1,89,12,199801
69322,2,,99,2,1,89,12,199801
69322,2,,92,2,1,89,12,199801
69322,2,,140,2,1,89,12,199801
69322,2,,98,2,1,89,12,199801
69322,2,,101,2,1,89,12,199801
69322,2,,100,2,1,89,12,199801
69322,2,,100,2,1,89,12,199801
69322,2,,100,2,1,89,12,199801
69322,2,,108,2,1,89,12,199801
69322,2,,109,2,1,89,12,199801
69322,2,,110,2,1,89,12,199801
69322,2,,105,2,1,89,12,199801
69322,2,,108,2,1,89,12,199801
69322,2,,110,2,1,89,12,199801
69322,2,,107,2,1,89,12,199801
69322,2,,101,2,1,89,12,199801
69322,2,,105,2,1,89,12,199801
69322,2,,112,2,1,89,12,199801
69322,2,,104,2,1,89,12,199801
69322,2,,103,2,1,89,12,199801
69322,2,,111,2,1,89,12,199801
69322,2,,111,2,1,89,12,199801
69322,2,,103,2,1,89,12,199801
69322,2,,98,2,1,89,12,199801
69322,2,,129,2,1,89,12,199801
69322,2,,97,2,1,89,12,199801
69322,2,,105,2,1,89,12,199801
69322,2,,100,2,1,89,12,199801
69322,2,,96,2,1,89,12,199801
69322,2,,113,2,1,89,12,199801
69322,2,,104,2,1,89,12,199801
69322,2,,106,2,1,89,12,199801
69322,2,,109,2,1,89,12,199801
69322,2,,104,2,1,89,12,199801
69322,2,,111,2,1,89,12,199801
69322,2,,102,2,1,89,12,199801
69322,2,,108,2,1,89,12,199801
69322,2,,142,2,1,89,12,199801
69322,2,,114,1,1,89,12,199801
69322,2,,108,2,1,89,12,199801
69322,2,,107,2,1,89,12,199801
69322,2,,100,2,1,89,12,199801
69322,2,,86,2,1,89,12,199801
69322,2,,134,2,1,89,12,199801
69322,2,,98,2,1,89,12,199801
69322,2,,108,2,1,89,12,199801
69322,2,,96,2,1,89,12,199801
69322,2,,92,2,1,89,12,199801
69322,1,,84,2,1,89,12,199801
69322,2,,105,2,1,89,12,199801
69322,2,,139,2,1,89,12,199801
69322,2,,102,2,1,89,12,199801
69322,2,,108,2,1,89,12,199801
69322,2,,98,2,1,89,12,199801
69322,2,,101,2,1,89,12,199801
69322,2,,101,2,1,89,12,199801
69322,2,,92,2,1,89,12,199801
69322,2,,105,2,1,89,12,199801
69322,2,,119,2,1,89,12,199801
69322,2,,111,2,1,89,12,199801
69322,2,,142,2,1,89,12,199801
69322,2,,104,2,1,89,12,199801
69322,2,,108,2,1,89,12,199801
69322,2,,101,2,1,89,12,199801
69322,2,,94,2,1,89,12,199801
69322,2,,108,2,1,89,12,199801
69322,2,,96,2,1,89,12,199801
69322,2,,93,2,1,89,12,199801
69322,2,,103,2,1,89,12,199801
69322,2,,96,2,1,89,12,199801
69322,2,,128,2,1,89,12,199801
69322,2,,88,2,1,89,12,199801
69322,1,,95,2,1,89,12,199801
69322,2,,94,2,1,89,12,199801
69322,2,,89,2,1,89,12,199801
69322,2,,96,2,1,89,12,199801
69322,1,,158,5,1,89,12,199801
69322,2,,105,2,1,89,12,199801
69322,1,,94,2,1,89,12,199801
69322,2,,95,2,1,89,12,199801
69322,2,,97,2,1,89,12,199801
69322,2,,87,2,1,89,12,199801
69322,2,,91,2,1,89,12,199801
69322,2,,105,2,1,89,12,199801
69322,2,,125,2,1,89,12,199801
69322,2,,95,2,1,89,12,199801
69322,2,,102,2,1,89,12,199801
69322,2,,112,2,1,89,12,199801
69322,2,,101,2,1,89,12,199801
69322,2,,105,2,1,89,12,199801
69322,2,,99,2,1,89,12,199801
69322,2,,94,2,1,89,12,199801
69322,2,,102,2,1,89,12,199801
69322,1,,109,2,1,89,12,199801
69322,1,,151,4,1,89,12,199801
